"KODE QRIS";"LOKASI PARKIR";"TITIK PARKIR";latitude;longitude
GBR-SRY-TMR-R2;"JL. GUBERNUR SURYO (TIMUR)";TKP;;
GBR-SRY-BRT-R2;"JL. GUBERNUR SURYO (BARAT)";TKP;;
DPO-PSR-IKN-R2;"DEPO PEMASARAN IKAN";TKP;;
SMA-PETRA4-R4;"SMA KRISTEN PETRA 4";TJU;;
PKM-SIDODADI-R2;"PUSKESMAS SIDODADI";TKP;;
TMN-ABRP-KRN-R2;"TAMAN ABHIRUPA KRIAN";TKP;;
WUP-CAFÉ-R2;"WUP CAFE";TJU;;
;"UTARA BAPPEDA";TKP;;
BCA-KCP-KRN-R2;"BCA KCP KRIAN";TJU;;
SNTR-KLNR-GM-R2;"SENTRA KULINER GAJAH MADA";TKP;;
